sku,unit_cost,current_price,suggested_price,product_category,date,product_name,product_description,units_sold,expected_units_sold,optimal_units_sold,min_price,max_price,global_optimal_price,current_margin_percentage,suggested_margin_percentage,optimal_margin_percentage,current_net_margin,expected_net_margin_expected_volume,optimal_net_margin,current_revenue,expected_revenue_expected_volume,optimal_revenue
APP003,42.0,89.79,61.91175684712575,Apparel,2024-01-01T00:00:00.000000,Running Shoes,"Ultra-lightweight running shoes with cushioned soles, breathable mesh upper, and shock-absorbing design for peak performance.",10.0,154.0,154.0,49.99,90.0,61.91175577737907,1.137857142857143,0.4740894487410893,0.47408942327093023,477.9000000000001,3066.410554457366,3066.410389716377,897.9000000000001,9534.410554457365,9534.410389716377
BEAU001,8.1,14.58,10.686551185907641,Beauty & Health,2024-01-01T00:00:00.000000,Facial Cleanser,"Gentle daily foaming cleanser enriched with aloe vera and vitamin E, designed to remove impurities without drying the skin.",4.0,133.0,133.0,9.0,14.0,10.68655015061057,0.8,0.319327306902178,0.31932717908772473,25.92,344.0113077257163,344.01117003120584,58.32,1421.3113077257162,1421.3111700312058
BEAU002,12.0,20.05,25.842562469587794,Beauty & Health,2024-01-01T00:00:00.000000,Hair Dryer,"Professional-grade ionic hair dryer with multiple heat and speed settings, cool shot feature, and diffuser for salon-quality results.",68.0,56.0,56.0,23.45,37.0,25.842562633676025,0.6708333333333334,1.1535468724656495,1.1535468861396687,547.4000000000001,775.1834982969165,775.1835074858574,1363.4,1447.1834982969165,1447.1835074858573
BEAU002,12.0,21.6,25.842562469587794,Beauty & Health,2024-01-01T00:00:00.000000,Hair Dryer,"Professional-grade ionic hair dryer with multiple heat and speed settings, cool shot feature, and diffuser for salon-quality results.",67.0,56.0,56.0,23.45,37.0,25.842562633676025,0.8000000000000002,1.1535468724656495,1.1535468861396687,643.2,775.1834982969165,775.1835074858574,1447.2,1447.1834982969165,1447.1835074858573
BEAU002,12.0,30.07,25.842562469587794,Beauty & Health,2024-01-01T00:00:00.000000,Hair Dryer,"Professional-grade ionic hair dryer with multiple heat and speed settings, cool shot feature, and diffuser for salon-quality results.",32.0,56.0,56.0,23.45,37.0,25.842562633676025,1.5058333333333334,1.1535468724656495,1.1535468861396687,578.24,775.1834982969165,775.1835074858574,962.24,1447.1834982969165,1447.1835074858573
BEAU002,12.0,34.73,25.842562469587794,Beauty & Health,2024-01-01T00:00:00.000000,Hair Dryer,"Professional-grade ionic hair dryer with multiple heat and speed settings, cool shot feature, and diffuser for salon-quality results.",9.0,56.0,56.0,23.45,37.0,25.842562633676025,1.8941666666666663,1.1535468724656495,1.1535468861396687,204.56999999999996,775.1834982969165,775.1835074858574,312.57,1447.1834982969165,1447.1835074858573
BEAU003,27.5,33.24,40.88652928974441,Beauty & Health,2024-01-01T00:00:00.000000,Electric Toothbrush,"Rechargeable electric toothbrush with smart timer, 3 brushing modes, and long-lasting battery for superior oral hygiene.",107.0,84.0,84.0,33.2,59.0,40.8865292561377,0.2087272727272728,0.48678288326343305,0.4867828820413709,614.1800000000002,1124.4684603385303,1124.4684575155668,3556.6800000000003,3434.4684603385303,3434.4684575155666
ELEC001,81.0,112.12,98.42066722259658,Electronics,2024-01-01T00:00:00.000000,Wireless Headphones,"Premium over-ear headphones with active noise cancellation, deep bass, and Bluetooth 5.0 for seamless wireless audio.",26.0,84.0,84.0,90.0,110.0,98.42066721138626,0.3841975308641976,0.21506996571106884,0.21506996557266986,809.1200000000001,1463.3360466981126,1463.3360457564459,2915.12,8267.336046698112,8267.336045756445
ELEC002,290.0,331.43,356.33193511078946,Electronics,2024-01-01T00:00:00.000000,Smartphone,"Cutting-edge smartphone featuring a 6.5-inch OLED display, ultra-fast processor, and 128GB of storage for all your apps and media.",274.0,218.0,218.0,350.0,420.0,356.3319350204882,0.14286206896551726,0.2287308107268602,0.22873081041547647,11351.820000000002,14460.361854152103,14460.361834466423,90811.82,77680.3618541521,77680.36183446643
ELEC002,290.0,444.67,356.33193511078946,Electronics,2024-01-01T00:00:00.000000,Smartphone,"Cutting-edge smartphone featuring a 6.5-inch OLED display, ultra-fast processor, and 128GB of storage for all your apps and media.",6.0,218.0,218.0,350.0,420.0,356.3319350204882,0.5333448275862069,0.2287308107268602,0.22873081041547647,928.0200000000001,14460.361854152103,14460.361834466423,2668.02,77680.3618541521,77680.36183446643
